"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
19,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",19,"Parcelles Assainies",NA,"Commune","Commune"
20,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",20,"Patte D'Oie",NA,"Commune","Commune"
21,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye",21,"Golf Sud",NA,"Commune","Commune"
22,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye",22,"Medina Gounass",NA,"Commune","Commune"
23,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye",23,"Ndiareme Limamoulaye",NA,"Commune","Commune"
24,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye",24,"Sam  Notaire",NA,"Commune","Commune"
25,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye",25,"Wakhinane Nimzatt",NA,"Commune","Commune"
26,201,"SEN","Senegal",1,"Dakar",3,"Pikine",6,"Niayes",26,"Keur Massar",NA,"Commune","Commune"
27,201,"SEN","Senegal",1,"Dakar",3,"Pikine",6,"Niayes",27,"Malika",NA,"Commune","Commune"
28,201,"SEN","Senegal",1,"Dakar",3,"Pikine",6,"Niayes",28,"Yeumbeul Nord",NA,"Commune","Commune"
29,201,"SEN","Senegal",1,"Dakar",3,"Pikine",6,"Niayes",29,"Yeumbeul Sud",NA,"Commune","Commune"
30,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",30,"Daliford",NA,"Commune","Commune"
31,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",31,"Djidah Thiaroye Kao",NA,"Commune","Commune"
32,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",32,"Guinaw Rail Nord",NA,"Commune","Commune"
33,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",33,"Guinaw Rail Sud",NA,"Commune","Commune"
34,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",34,"Pikine Est",NA,"Commune","Commune"
35,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",35,"Pikine Ouest",NA,"Commune","Commune"
36,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",36,"Pikine Sud",NA,"Commune","Commune"
37,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye",37,"Diack Sao",NA,"Commune","Commune"
38,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye",38,"Diamaguene/Sicap M'Bao",NA,"Commune","Commune"
39,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye",39,"Mbao",NA,"Commune","Commune"
40,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye",40,"Thiaroye Gare",NA,"Commune","Commune"
41,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye",41,"Thiaroye Mer",NA,"Commune","Commune"
42,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor",42,"Bambilor",NA,"Commune","Commune"
43,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor",43,"Tivaouane Peulh-Niagha",NA,"Commune","Commune"
44,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor",44,"Yene",NA,"Commune","Commune"
45,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",45,"Rufisque  Est",NA,"Commune","Commune"
46,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",46,"Rufisque Centre (Nord)",NA,"Commune","Commune"
47,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",47,"Rufisque Ouest",NA,"Commune","Commune"
48,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",48,"Baba Garage",NA,"Commune","Commune"
49,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",49,"Dinguiraye",NA,"Commune","Commune"
50,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",50,"Keur Samba Kane",NA,"Commune","Commune"
51,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",51,"Gawane",NA,"Commune","Commune"
52,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",52,"Lambaye",NA,"Commune","Commune"
53,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",53,"Ngogom",NA,"Commune","Commune"
54,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",54,"Refane",NA,"Commune","Commune"
55,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",55,"Ndangalma",NA,"Commune","Commune"
56,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",56,"Ndondol",NA,"Commune","Commune"
57,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",57,"Ngoye",NA,"Commune","Commune"
58,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",58,"Thiakhar",NA,"Commune","Commune"
59,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",59,"Dankh Sene",NA,"Commune","Commune"
60,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",60,"Gade Escale",NA,"Commune","Commune"
61,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",61,"Keur Ngalgou",NA,"Commune","Commune"
62,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",62,"Ndindy",NA,"Commune","Commune"
63,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",63,"Taiba Moutoupha",NA,"Commune","Commune"
64,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",64,"Touba Lappe",NA,"Commune","Commune"
65,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",65,"Ndoulo",NA,"Commune","Commune"
66,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",66,"Ngohe",NA,"Commune","Commune"
67,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",67,"Patar",NA,"Commune","Commune"
68,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",68,"Tocky Gare",NA,"Commune","Commune"
69,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",69,"Toure Mbonde",NA,"Commune","Commune"
70,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",70,"Darou Nahim",NA,"Commune","Commune"
71,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",71,"Darou Salam Typ",NA,"Commune","Commune"
72,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",72,"Dendeye Gouye Gui",NA,"Commune","Commune"
73,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",73,"Kael",NA,"Commune","Commune"
74,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",74,"Madina",NA,"Commune","Commune"
75,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",75,"Ndioumane Taiba Thiekene",NA,"Commune","Commune"
76,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",76,"Taiba Thieckene",NA,"Commune","Commune"
77,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",77,"Touba Mboul",NA,"Commune","Commune"
78,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",78,"Dalla Ngabou",NA,"Commune","Commune"
79,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",79,"Missirah",NA,"Commune","Commune"
80,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",80,"Nghaye",NA,"Commune","Commune"
81,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",81,"Touba Fall",NA,"Commune","Commune"
82,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",82,"Touba Mosquee",NA,"Commune","Commune"
83,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",18,"Taif",83,"Sadio",NA,"Commune","Commune"
84,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",18,"Taif",84,"Taif",NA,"Commune","Commune"
85,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",85,"Djilasse",NA,"Commune","Commune"
86,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",86,"Fimela",NA,"Commune","Commune"
87,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",87,"Loul Sessene",NA,"Commune","Commune"
88,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",88,"Palmarin Facao",NA,"Commune","Commune"
89,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",89,"Diaoule",NA,"Commune","Commune"
90,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",90,"Mbelacadio",NA,"Commune","Commune"
91,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",91,"Ndiob",NA,"Commune","Commune"
92,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",92,"Thiare Ndialgui",NA,"Commune","Commune"
93,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar",93,"Ngayokheme",NA,"Commune","Commune"
94,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar",94,"Niakhar",NA,"Commune","Commune"
95,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar",95,"Patar",NA,"Commune","Commune"
96,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine",96,"Diarrere",NA,"Commune","Commune"
97,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine",97,"Diouroup",NA,"Commune","Commune"
98,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine",98,"Tattaguine",NA,"Commune","Commune"
99,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",99,"Diagane Barka",NA,"Commune","Commune"
100,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",100,"Diossong",NA,"Commune","Commune"
101,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",101,"Djilor",NA,"Commune","Commune"
102,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",102,"Mbam",NA,"Commune","Commune"
103,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",103,"Niassene",NA,"Commune","Commune"
104,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",104,"Bassoul",NA,"Commune","Commune"
105,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",105,"Delta du Saloum National Park",NA,"Parc National","National Park"
106,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",106,"Dionewar",NA,"Commune","Commune"
107,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",107,"Djirnda",NA,"Commune","Commune"
108,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",108,"Keur Saloum Diane",NA,"Commune","Commune"
109,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",109,"Keur Samba Gueye",NA,"Commune","Commune"
110,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",110,"Nioro Alassane Tall",NA,"Commune","Commune"
111,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",111,"Toubacouta",NA,"Commune","Commune"
112,201,"SEN","Senegal",3,"Fatick",10,"Gossas",26,"Colobane",112,"Colobane",NA,"Commune","Commune"
113,201,"SEN","Senegal",3,"Fatick",10,"Gossas",26,"Colobane",113,"Mbar",NA,"Commune","Commune"
114,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour",114,"Ndiene Lagane",NA,"Commune","Commune"
115,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour",115,"Ouadiour",NA,"Commune","Commune"
116,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour",116,"Patar Lia",NA,"Commune","Commune"
117,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",117,"Bandafassi",NA,"Commune","Commune"
118,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",118,"Dindefello",NA,"Commune","Commune"
119,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",119,"Ninefecha",NA,"Commune","Commune"
120,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",28,"Bandafassi",120,"Tomboronkoto",NA,"Commune","Commune"
121,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",29,"Fongolimbi",121,"Dimboly",NA,"Commune","Commune"
122,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou",29,"Fongolimbi",122,"Fongolimbi",NA,"Commune","Commune"
123,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",30,"Dakately",123,"Dakately",NA,"Commune","Commune"
124,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",30,"Dakately",124,"Kevoye",NA,"Commune","Commune"
125,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam",125,"Dar Salam",NA,"Commune","Commune"
126,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam",126,"Ethiolo",NA,"Commune","Commune"
127,201,"SEN","Senegal",4,"Kédougou",12,"Salémata",31,"Dar Salam",127,"Oubadji",NA,"Commune","Commune"
128,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",32,"Bembou",128,"Bembou",NA,"Commune","Commune"
129,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",32,"Bembou",129,"Medina Baffe",NA,"Commune","Commune"
130,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala",130,"Khossanto",NA,"Commune","Commune"
131,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala",131,"Missirah Sirimana",NA,"Commune","Commune"
132,201,"SEN","Senegal",4,"Kédougou",13,"Saraya",33,"Sabodala",132,"Sabodala",NA,"Commune","Commune"
133,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki",133,"Diamal",NA,"Commune","Commune"
134,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki",134,"Keur Mboucki",NA,"Commune","Commune"
135,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",34,"Keur Mboucki",135,"Touba Mbella",NA,"Commune","Commune"
136,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",136,"Mabo",NA,"Commune","Commune"
137,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",137,"Mbeuleup",NA,"Commune","Commune"
138,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",138,"Ndiognick",NA,"Commune","Commune"
139,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane",35,"Mabo",139,"Segre Gatta",NA,"Commune","Commune"
140,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby",140,"Boulel Goumack",NA,"Commune","Commune"
141,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby",141,"Gniby",NA,"Commune","Commune"
142,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",36,"Gniby",142,"Kahi",NA,"Commune","Commune"
143,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",143,"Diamagadio",NA,"Commune","Commune"
144,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",144,"Diokoul Mbelbouck",NA,"Commune","Commune"
145,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",145,"Kathiote",NA,"Commune","Commune"
146,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",146,"Medinatoul Salam Ii",NA,"Commune","Commune"
147,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride",147,"Fass Thiekene",NA,"Commune","Commune"
148,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride",148,"Ida Mouride",NA,"Commune","Commune"
149,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride",149,"Saly Escale",NA,"Commune","Commune"
150,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",39,"Lour Escale",150,"Lour Escale",NA,"Commune","Commune"
151,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",39,"Lour Escale",151,"Ribot Escale",NA,"Commune","Commune"
152,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene",152,"Gainthe Pathe",NA,"Commune","Commune"
153,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene",153,"Maka Yop",NA,"Commune","Commune"
154,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene",154,"Missirah Wadene",NA,"Commune","Commune"
155,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",155,"Darou Miname Ii",NA,"Commune","Commune"
156,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",156,"Khelcom",NA,"Commune","Commune"
157,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",157,"Ndiobene Samba Lama",NA,"Commune","Commune"
158,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",158,"Ndioum Ngainthe",NA,"Commune","Commune"
159,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",42,"Sagna",159,"Dianke Souf",NA,"Commune","Commune"
160,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",42,"Sagna",160,"Sagna",NA,"Commune","Commune"
161,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",161,"Khelcom Birame",NA,"Commune","Commune"
162,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",162,"Mbadakhoune",NA,"Commune","Commune"
163,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",163,"Ndiago",NA,"Commune","Commune"
164,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",164,"Ngathie Naoude",NA,"Commune","Commune"
165,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",165,"Dara Mboss",NA,"Commune","Commune"
166,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",166,"Gagnick",NA,"Commune","Commune"
167,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",167,"Nguelou",NA,"Commune","Commune"
168,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",168,"Ourour",NA,"Commune","Commune"
169,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",169,"Panal Wolof",NA,"Commune","Commune"
170,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal",170,"Keur Baka",NA,"Commune","Commune"
171,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal",171,"Latmingue",NA,"Commune","Commune"
172,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal",172,"Thiare",NA,"Commune","Commune"
173,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng",173,"Keur Soce",NA,"Commune","Commune"
174,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng",174,"Ndiaffate",NA,"Commune","Commune"
175,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng",175,"Ndiedieng",NA,"Commune","Commune"
176,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",176,"Dya",NA,"Commune","Commune"
177,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",177,"Ndiebel",NA,"Commune","Commune"
178,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",178,"Thiomby",NA,"Commune","Commune"
179,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",179,"Kayemor",NA,"Commune","Commune"
180,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",180,"Medina Sabakh",NA,"Commune","Commune"
181,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",181,"Ngayene",NA,"Commune","Commune"
182,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",182,"Dabaly",NA,"Commune","Commune"
183,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",183,"Darou Salam",NA,"Commune","Commune"
184,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",184,"Gainthe Kaye",NA,"Commune","Commune"
185,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",185,"Paos Koto",NA,"Commune","Commune"
186,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",186,"Prokhane",NA,"Commune","Commune"
187,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",187,"Taiba Niassene",NA,"Commune","Commune"
188,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",50,"Wack Ngouna",188,"Keur Maba Diakhou",NA,"Commune","Commune"
189,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",50,"Wack Ngouna",189,"Keur Madongo",NA,"Commune","Commune"
190,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",50,"Wack Ngouna",190,"Ndrame Escale",NA,"Commune","Commune"
191,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",50,"Wack Ngouna",191,"Wack Ngouna",NA,"Commune","Commune"
192,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon",192,"Dioulacolon",NA,"Commune","Commune"
193,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon",193,"Guiro Yero Bocar",NA,"Commune","Commune"
194,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon",194,"Medina El Hadj",NA,"Commune","Commune"
195,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon",195,"Tankanto Escale",NA,"Commune","Commune"
196,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim",196,"Bagadadji",NA,"Commune","Commune"
197,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim",197,"Coumbacara",NA,"Commune","Commune"
198,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim",198,"Dialambere",NA,"Commune","Commune"
199,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim",199,"Mampatim",NA,"Commune","Commune"
200,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim",200,"Medina Cherif",NA,"Commune","Commune"
201,201,"SEN","Senegal",7,"Kolda",21,"Kolda",53,"Sare Bidji",201,"Sare Bidji",NA,"Commune","Commune"
202,201,"SEN","Senegal",7,"Kolda",21,"Kolda",53,"Sare Bidji",202,"Thietty",NA,"Commune","Commune"
203,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",54,"Fafacourou",203,"Badion",NA,"Commune","Commune"
204,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",54,"Fafacourou",204,"Fafacourou",NA,"Commune","Commune"
205,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna",205,"Bignaraby",NA,"Commune","Commune"
206,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna",206,"Bouroucou",NA,"Commune","Commune"
207,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna",207,"Koulinto",NA,"Commune","Commune"
208,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna",208,"Ndorna",NA,"Commune","Commune"
209,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",56,"Niaming",209,"Dinguiraye",NA,"Commune","Commune"
210,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",56,"Niaming",210,"Kerewane",NA,"Commune","Commune"
